product_line_name,product_line_image,model_name,model_image,efficiency
Ductless Systems,,Preferred™ Ducted Indoor Unit,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1727891170/bryant/products/ductless/preferred-ducted-indoor-unit-model-45MBDAQ.png",Dependent upon outdoor unit pairing
Ductless Systems,,Preferred™ Ceiling/Floor Console Indoor Unit,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1727891406/bryant/products/ductless/performance-floor-console-indoor-unit-45MCFAQ.png",Dependent upon outdoor unit pairing
Ductless Systems,,Preferred™ Floor Console Indoor Unit,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1717505980/bryant/products/ductless/preferred-floor-console-indoor-unit-45MBFAQ.jpg",Dependent upon outdoor unit pairing
Ductless Systems,,Preferred™ Cassette Indoor Unit,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1717505890/bryant/products/ductless/cassette-indoor-unit-ductless-systems-45MBCAQ.png",Dependent upon outdoor unit pairing
Ductless Systems,,Preferred™ One Way Cassette Indoor Unit,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1727891070/bryant/products/ductless/45MCCAQ.png",Dependent upon outdoor unit pairing
Ductless Systems,,Legacy™ Line Heat Pump,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1724349595/bryant/products/ductless/legacy-line-heat-pump-37MHRAQ.png",Up to 22.4 SEER2
Ductless Systems,,Legacy™ Line Air Conditioner,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1724349594/bryant/products/ductless/legacy-line-air-conditioner-37mhrac.png",Up to 22.2 SEER2
Ductless Systems,,Legacy™ Line High Wall Indoor Unit,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1717506319/bryant/products/ductless/legacy-line-high-wall-indoor-unit-45MHHAQ.png",Dependent upon outdoor unit pairing
Ductless Systems,,Legacy™ Line High Wall Indoor Unit - Cooling Only,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1717507022/bryant/products/ductless/legacy-line-high-wall-indoor-unit-model-45MHHAC.avif",Dependent upon outdoor unit pairing
Ductless Systems,,Evolution™ Light Commercial Heat Pump,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1717506231/bryant/products/ductless/preferred-single-zone-heat-pump-37MBHAQ.png",Up to 21.3  SEER2
